Outlet Name,Outlet Reach (Weekly),Outlet Reach (Monthly),Market,Media Type
KDLT (NBC),10220,10220,"Sioux Falls, SD",TV
KHON-HON (FOX),403,403,"Honolulu, HI",TV
KTTC (NBC),3561,3561,"Rochester, MN",TV
 Spectrum News Austin,1000,1000,"Austin, TX",TV
10 ews san diego,99563,398252,"San Diego, CA",Online
100.1 Big Country,1912.25,7649,"Willmar, MN",Online
102.7 Coyote Country,1000,4000,"Las Vegas, NV",Online
102.7 KIIS FM,12032.5,48130,"Burbank, CA",Online
102.7 KORD Online,1000,4000,"Pasco, WA",Online
102.7 Nash FM,1000,4000,"Melbourne, FL",Online
103.1 The Wolf,1000,4000,"Orlando, FL",Online
104.5 The Cat,1000,4000,"Lexington, KY",Online
105.5 The Hawk,1000,4000,"Idaho Falls, ID",Online
106.3 The Wolf,1000,4000,Local,Online
107.1 Nash Icon,1000,4000,Local,Online
12Up,195617.75,782471,National,Online
13 News Now,54081,216324,"Norfolk, VA",Online
24/7 Sports,842217,3368868,National,Online
49ers.com,1000,4000,"San Francisco, CA",Online
7News - WHDH Boston fb,467840,467840,"Boston, MA",Social
9 News,10391.75,41567,"Denver, CO",Online
9 News online,193004,772016,"Denver, CO",Online
92.5 KISS FM,1000,4000,"Toledo, OH",Online
92.5 XTU,2328,9312,"Philadelphia, PA",Online
92.9 The Game,1000,4000,"Atlanta, GA",Radio
93.7 Kiss Country,1000,4000,"Fresno, CA",Online
94.1 The Duke,1000,4000,Local,Online
94.3 KAT Country,1000,4000,Local,Online
94.5 The Buzz,7009.75,28039,"Houston, TX",Online
95.1 WAPE,1000,4000,Local,Online
96.1 Kiss,1000,4000,"Pittsburgh, PA",Online
96.9 The Game,1000,4000,"Maitland, FL",Online
96.9 The Game fb,5568,5568,"Maitland, FL",Social
97.1 The Ticket,1000,4000,"Detroit, MI",Online
97.3 The Eagle,1000,4000,Local,Online
97.5 Country,1000,4000,"Honolulu, HI",Online
97.9 Kick FM,1000,4000,National,Online
971 The Ticket,4580.25,18321,"Detriot, MI",Online
97X,2992.5,11970,"Tampa, FL",Online
98 Rock,1000,4000,"Tampa, FL",Online
99.5 QYK,1000,4000,"St. Petersburg, FL",Online
99.9 Gator Country fb,50362,50362,"Jacksonville, FL",Social
99.9 Radio USA,1000,4000,"Hibbing, MN",Online
9News Sports fb,13270,13270,"Denver, CO",Social
ABC 10 News San Diego,99563,398252,"San Diego, CA",Online
ABC 15 Arizona,230791.75,923167,"Phoeniz, AZ",Online
ABC 7 Denver,142510.25,570041,"Denver, CO",Online
ABC News Online,1979282.5,7917130,National,Online
ABC News Radio Online,7917.75,31671,National,Online
Access Online,25182,100728,National,Online
Actions News Now,20578,82312,Local,Online
Ad Age,132270.75,529083,National,Online
Ad Exchanger,19211.5,76846,National,Online
Adage,132270.75,529083,National,Online
Adweek,282324,1129296,National,Online
Adweek Twitter,631938,631938,National,Social
Albany Herald,8994,35976,"Albany, NY",Online
All Access,14038.75,56155,National,Online
ALT 103.7,1000,4000,"Dallas, TX",Online
Amarilo Globe News,8087.75,32351,"Amarillo, TX",Online
AOL,2493936.25,9975745,National,Online
AOL.com,2493936.25,9975745,National,Online
Archy Sport,8935.5,35742,"Detriot, MI",Online
AZ Central,705497.5,2821990,"Phoenix, AZ",Online
B 93.7,1000,4000,"Sheboygan, WI",Online
Bardown,1000,4000,National,Online
BBD Online,273.25,1093,National,Online
Beaver 100.3,1000,4000,Local,Online
Beer Connoisseur,9179.75,36719,National,Online
Beer Net,1000,4000,National,Online
Best Ads,1000,4000,National,Online
Best Products,264721.25,1058885,National ,Online
Beverage Daily,12415.5,49662,National ,Online
Beverage Dynamics,2866.5,11466,National ,Online
Beverage Industry ,5776,23104,National,Online
Big Cat Country,9423.75,37695,"Jacksonville, FL",Online
Big News Network,13614.5,54458,National,Online
Billboard.com,1236478,4945912,National,Online
Billings Gazette,43431.75,173727,"Billings, MT",Online
Bleacher Report,1541681,6166724,National,Online
Bleeding Cool,127002.25,508009,National,Online
BMI,1171,1171,National,Trade
Brobible,543000,2172000,National,Online
Brownwood Bulletin,3938.75,15755,"Brownwood, TX",Online
Caspar Tribune,21842.25,87369,"Casper, WV",Online
CAT Country 1071,1000,4000,New Jersey,Online
CBS Baltimore (WJZ),134540.75,538163,"Baltimore, MD",Online
CBS Sports Online,2323815,9295260,National,Online
Chain Drug Review,1540.25,6161,National,Online
Channel 94.1,1000,4000,"Omaha, NE",Online
Charoltte Observer,119985.75,479943,"Charolette, NC",Online
Chicago Tribune,909686.5,3638746,"Chicago, IL",Online
Chief Marketer,6291,25164,National,Online
Chillicothe Gazette,2467.75,9871,"Chambersburg, PA",Online
Clear99,1000,4000,"Columbia, MO",Online
Click Orlando,235553.25,942213,"Orlando, FL",Online
Clutch Points,173153,692612,National,Online
ClutchPoints,1000,4000,National,Online
CNBC ,378430,378430,"Minneapolis, MN",TV
CNN,11919479.25,47677917,National ,Online
Collette Reitz IG,513,513,National ,Social
Coloradoan,10000,40000,"Denver, CO",Online
Complex,578698.5,2314794,National,Online
Coug Center - SB Nation,1566,6264,National,Online
Country 102.5,49605.25,198421,"Nashville, TN",Online
Country 103.7,1000,4000,"Charlotte, NC",Online
Country Living,1106883,4427532,National,Online
Country Music Playlist,1000,4000,National,Online
Cowboy's Woire,35880.5,143522,National,Online
Crestview News Bulletin,2530.25,10121,"Crestview, FL",Online
Crookston Daily Times,1000,4000,"Crookston, MN",Online
CSP Daily News,11484.5,45938,National ,Online
Customer Contact Week Digital,2444.25,9777,National,Online
Daily Adveritser,16502.75,66011,"Layfette, CA",Online
Daily Caller,378319.5,1513278,National,Online
Daily Comet,3069.75,12279,"New Orleans, LA",Online
Daily Journal,10941.75,43767,Local,Online
Daily Mail,5676889,22707556,National,Online
Daily News Jouranl,7487,29948,Local,Online
Daily Norseman,13260.5,53042,National,Online
Deadline,780830,3123320,National,Online
Delaware Online,1000,4000,Delaware,Online
Delish,1917292,7669168,National ,Online
Delish fb,21085163,21085163,National ,Social
Delmarva Now,1000,4000,Local,Online
Denver Business Journal,921994,3687976,"Denver, CO",Online
Des Moines Register,134482,537928,National,Online
Detriot Free Press,421051.75,1684207,National,Online
Detriot News,207196.5,828786,"Denver, CO",Online
Detroit Free Press,421051.75,1684207,"Detroit, MI",Online
Detroit Lions,9743.5,38974,"Detroit, MI",Online
Detroit Star,1000,4000,"Detroit, MI",Online
Dexerto,504673,2018692,National,Online
Diario Libre,12858.75,51435,National,Online
Digital 101.5,1000,4000,National,Online
DK Pittsburgh Sports,12135.5,48542,"Pittsburgh, PA",Online
Dodge City Daily News,1289.5,5158,"Dodge City, KS",Online
Dothan Eagle,4742.75,18971,"Dothan, AL",Online
Dover Online,1000,4000,"Dover, DE",Online
Draft Kings Nation,1084,4336,National,Online
Eater,752666.5,3010666,National ,Online
Elite Daily,506879.75,2027519,National ,Online
Elite Sports NY,15470.5,61882,"New York, NY",Online
emarketer,16291.25,65165,National,Online
Entertainment Rocks,1000,4000,National,Online
Espacio De Prensa,1000,4000,"New York, NY",Online
ESPN,4559421,18237684,National,Online
ESPN 1420,1000,4000,National,Online
ESPN- TV,249617,249617,National,TV
